entity,example,intent,norm
NIGHTWEAR,잠옷,CLOTHES-TYPE,잠옷
NIGHTWEAR,파자마,CLOTHES-TYPE,잠옷
NIGHTWEAR,나이트웨어,CLOTHES-TYPE,잠옷
UNDERWEAR,속옷,CLOTHES-TYPE,속옷
UNDERWEAR,언더웨어,CLOTHES-TYPE,속옷
SPORTWEAR,스포츠웨어,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,추리닝,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,츄리닝,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,운동복,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,트레이닝복,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,트레이닝세트,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,추리닝복,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,추리닝세트,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,츄리닝복,CLOTHES-TYPE,스포츠웨어
SPORTWEAR,츄리닝세트,CLOTHES-TYPE,스포츠웨어
BEACHWEAR,수영복,CLOTHES-TYPE,수영복
BEACHWEAR,비치웨어,CLOTHES-TYPE,수영복
BEACHWEAR,래쉬가드,CLOTHES-TYPE,수영복
BEACHWEAR,래시가드,CLOTHES-TYPE,수영복
BEACHWEAR,비키니,CLOTHES-TYPE,수영복
BEACHWEAR,모노키니,CLOTHES-TYPE,수영복
BEACHWEAR,원피스수영복,CLOTHES-TYPE,수영복
BEACHWEAR,스윔웨어,CLOTHES-TYPE,수영복
MAXISK,롱 스커트,CLOTHES-TYPE,롱 스커트
MAXISK,롱 치마,CLOTHES-TYPE,롱 스커트
MAXISK,맥시 스커트,CLOTHES-TYPE,롱 스커트
MAXISK,맥시 치마,CLOTHES-TYPE,롱 스커트
MIDISK,미디 스커트,CLOTHES-TYPE,미디 스커트
MIDISK,미디 치마,CLOTHES-TYPE,미디 스커트
MIDISK,기본기장 스커트,CLOTHES-TYPE,미디 스커트
MIDISK,기본기장 치마,CLOTHES-TYPE,미디 스커트
MINISK,숏 스커트,CLOTHES-TYPE,미니 스커트
MINISK,숏 치마,CLOTHES-TYPE,미니 스커트
MINISK,미니 스커트,CLOTHES-TYPE,미니 스커트
MINISK,미니 치마,CLOTHES-TYPE,미니 스커트
MINISK,테니스스커트,CLOTHES-TYPE,미니 스커트
MINISK,테니스치마,CLOTHES-TYPE,미니 스커트
MINISK,테치,CLOTHES-TYPE,미니 스커트
SKIRT,스커트,CLOTHES-TYPE,스커트
SKIRT,치마,CLOTHES-TYPE,스커트
MAXIOP,롱 원피스,CLOTHES-TYPE,롱 원피스
MAXIOP,맥시 원피스,CLOTHES-TYPE,롱 원피스
MIDIOP,미디 원피스,CLOTHES-TYPE,미디 원피스
MIDIOP,기본 기장 원피스,CLOTHES-TYPE,미디 원피스
MINIOP,숏 원피스,CLOTHES-TYPE,미디 원피스
MINIOP,미니 원피스,CLOTHES-TYPE,미디 원피스
ONEPIECE,원피스,CLOTHES-TYPE,원피스
JUMPSUIT,점프슈트,CLOTHES-TYPE,점프슈트
JUMPSUIT,점프수트,CLOTHES-TYPE,점프슈트
JUMPSUIT,오버올,CLOTHES-TYPE,점프슈트
LEGGINGS,레깅스,CLOTHES-TYPE,레깅스
LEGGINGS,래깅스,CLOTHES-TYPE,레깅스
JOGGERPT,조거 팬츠,CLOTHES-TYPE,조거 팬츠
JOGGERPT,조거 바지,CLOTHES-TYPE,조거 팬츠
JOGGERPT,조깅 팬츠,CLOTHES-TYPE,조거 팬츠
JOGGERPT,조깅 바지,CLOTHES-TYPE,조거 팬츠
JOGGERPT,배기 팬츠,CLOTHES-TYPE,조거 팬츠
JOGGERPT,배기 바지,CLOTHES-TYPE,조거 팬츠
JOGGERPT,베기 팬츠,CLOTHES-TYPE,조거 팬츠
JOGGERPT,베기 바지,CLOTHES-TYPE,조거 팬츠
COTTONPT,코튼 팬츠,CLOTHES-TYPE,코튼 팬츠
COTTONPT,코튼 바지,CLOTHES-TYPE,코튼 팬츠
COTTONPT,면 팬츠,CLOTHES-TYPE,코튼 팬츠
COTTONPT,면 바지,CLOTHES-TYPE,코튼 팬츠
DENIMPT,데님 팬츠,CLOTHES-TYPE,데님 팬츠
DENIMPT,데님 바지,CLOTHES-TYPE,데님 팬츠
DENIMPT,청 팬츠,CLOTHES-TYPE,데님 팬츠
DENIMPT,청 바지,CLOTHES-TYPE,데님 팬츠
DENIMPT,진 팬츠,CLOTHES-TYPE,데님 팬츠
DENIMPT,진 바지,CLOTHES-TYPE,데님 팬츠
DENIMPT,스키니,CLOTHES-TYPE,데님 팬츠
DENIMPT,스키니 진,CLOTHES-TYPE,데님 팬츠
DENIMPT,스키니 팬츠,CLOTHES-TYPE,데님 팬츠
DENIMPT,스키니 바지,CLOTHES-TYPE,데님 팬츠
SHORTS,반바지,CLOTHES-TYPE,반바지
SHORTS,쇼츠,CLOTHES-TYPE,반바지
SHORTS,하프쇼츠,CLOTHES-TYPE,반바지
SLACKS,슬랙스,CLOTHES-TYPE,슬랙스
SLACKS,슬렉스,CLOTHES-TYPE,슬랙스
SLACKS,정장바지,CLOTHES-TYPE,슬랙스
PANTS,팬츠,CLOTHES-TYPE,팬츠
PANTS,바지,CLOTHES-TYPE,팬츠
PK-TSHIRT,피케 티셔츠,CLOTHES-TYPE,카라 티셔츠
PK-TSHIRT,피케 티,CLOTHES-TYPE,카라 티셔츠
PK-TSHIRT,카라 티셔츠,CLOTHES-TYPE,카라 티셔츠
PK-TSHIRT,카라 티,CLOTHES-TYPE,카라 티셔츠
SLEEVELESS,민소매,CLOTHES-TYPE,민소매
SLEEVELESS,나시,CLOTHES-TYPE,민소매
SLEEVELESS,끈나시,CLOTHES-TYPE,민소매
SLEEVELESS,슬리브리스,CLOTHES-TYPE,민소매
TSHIRT,티셔츠,CLOTHES-TYPE,티셔츠
TSHIRT,티,CLOTHES-TYPE,티셔츠
TSHIRT,t셔츠,CLOTHES-TYPE,티셔츠
TSHIRT,T - 셔츠,CLOTHES-TYPE,티셔츠
L-TSHIRT,긴팔 티셔츠,CLOTHES-TYPE,긴팔 티셔츠
L-TSHIRT,긴팔 티,CLOTHES-TYPE,긴팔 티셔츠
HOOD,후드티,CLOTHES-TYPE,후드티
HOOD,후드,CLOTHES-TYPE,후드티
HOOD,후디,CLOTHES-TYPE,후드티
HOOD,hoody,CLOTHES-TYPE,후드티
HOOD,후드티셔츠,CLOTHES-TYPE,후드티
S-TSHIRT,반팔 티셔츠,CLOTHES-TYPE,반팔 티셔츠
S-TSHIRT,반팔 티,CLOTHES-TYPE,반팔 티셔츠
