,item,cate,sub-category,price,rank,url,image,absorbency-good,accessory-bag,accessory-boots,accessory-heel,accessory-necklace,accessory-platshoes,accessory-sandal,accessory-shoes,accessory-slipper,chic-look,color-beige,color-black,color-blue,color-brown,color-dark,color-gold,color-gray,color-green,color-ivory,color-khaki,color-lavender,color-mint,color-navy,color-orange,color-pastel,color-pink,color-purple,color-red,color-silver,color-skyblue,color-vivid,color-white,color-yellow,delivery-good,design-boot,design-button,design-collarneck,design-crop,design-good,design-henryneck,design-opening,design-raglan,design-ripped,design-roundneck,design-shirring,design-straight,design-turtleneck,design-uneck,design-vneck,design-wide,fabric-cotton,fabric-denim,fabric-fur,fabric-lace,fabric-leather,fabric-linen,fabric-mesh,fabric-modal,fabric-opaque,fabric-quality,fabric-ribbed,fabric-silk,fabric-synthetic,fabric-thermal,fabric-thick,fabric-thin,fabric-velvet,fabric-wrinkle,finish-quality,formal-good,gender-men,gender-women,informal-good,length-good,length-long,length-short,match-down-cottonpt,match-down-denimpt,match-down-joggerpt,match-down-leggings,match-down-maxisk,match-down-minisk,match-down-onepiece,match-down-pants,match-down-shorts,match-down-skirt,match-down-slacks,match-gen,match-up-cardigan,match-up-coat,match-up-denimjk,match-up-fleecejk,match-up-hood,match-up-hoodzipup,match-up-jacket,match-up-knit,match-up-l-padding,match-up-leatherjk,match-up-mtm,match-up-mustang,match-up-outer,match-up-padding,match-up-paddingvt,match-up-pk-tshirt,match-up-s-padding,match-up-seasonsct,match-up-shirt,match-up-sleeveless,match-up-suit,match-up-trainingjk,match-up-truckerjk,match-up-tshirt,match-up-vest,pattern-check,pattern-dot,pattern-good,pattern-military,pattern-plain,pattern-printing,pattern-stripe,pattern-tiedye,portability-good,price-good,size-good,size-large,size-small,sleeves-long,sleeves-short,slim-look,sportive-look,sports-good,stretch-good,thickness-good,trend-look,trip-good,vivid-look,waterproof-good,woman-age-0s,woman-age-10s,woman-age-2030s,woman-age-4050s,young-look
0,id-1-1,PANTS,JOGGERPT,79900,84736,https://store.musinsa.com/app/goods/883004,https://image.msscdn.net/images/goods_img/20181016/883004/883004_6_500.jpg,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,63,0,0,0,0,0,1,0,0,0,0,0,24,0,4,0,0,0,0,0,1,70,0,1,2,215,476,256,0,0,114,24,3,13,813,203,370,117,0,0,0,3,0,0,0,10,0,0,1,122,0,0,0,0,6,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,51,423,587,167,0,0,2,0,1,93,53,9,0,0,0,7,7,14,3,0
1,id-1-2,PANTS,SLACKS,32900,28582,https://store.musinsa.com/app/goods/1595815,https://image.msscdn.net/images/goods_img/20200910/1595815/1595815_3_500.jpg,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,10,47,28,0,1,50,13,0,1,111,29,16,13,0,0,0,0,0,0,0,2,0,0,7,29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,97,93,25,0,0,1,0,0,28,5,3,0,0,0,0,1,3,0,0
2,id-1-3,PANTS,DENIMPT,36400,34568,https://store.musinsa.com/app/goods/1164854,https://image.msscdn.net/images/goods_img/20190924/1164854/1164854_2_500.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5,0,0,0,5,49,25,0,0,18,4,2,2,63,36,72,11,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,90,107,30,0,0,1,0,0,0,4,3,0,0,0,0,1,3,1,0
3,id-1-4,PANTS,SLACKS,32900,48455,https://store.musinsa.com/app/goods/1596414,https://image.msscdn.net/images/goods_img/20200911/1596414/1596414_3_500.jpg,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,17,0,0,0,17,51,33,0,0,52,8,0,1,110,23,43,20,0,0,0,0,0,0,0,1,0,0,2,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,79,111,25,0,0,1,0,0,16,12,2,0,0,0,1,1,3,0,0
4,id-1-5,PANTS,JOGGERPT,28690,12446,https://store.musinsa.com/app/goods/1173648,https://image.msscdn.net/images/goods_img/20191001/1173648/1173648_2_500.jpg,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,40,97,19,0,0,41,3,1,0,94,22,18,25,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,6,84,65,16,0,0,0,0,0,17,15,1,0,0,0,1,5,3,2,0
5,id-1-6,PANTS,SLACKS,29900,10594,https://store.musinsa.com/app/goods/801976,https://image.msscdn.net/images/goods_img/20180615/801976/801976_1_500.jpg,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,12,21,110,0,1,8,4,0,0,200,43,20,46,0,0,0,0,0,0,0,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,68,61,20,0,0,0,0,0,13,11,3,0,0,0,0,0,2,0,0
6,id-1-7,PANTS,DENIMPT,35000,6233,https://store.musinsa.com/app/goods/1164863,https://image.msscdn.net/images/goods_img/20190924/1164863/1164863_2_500.jpg,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,18,2,0,0,0,0,0,0,12,0,0,0,47,142,84,0,0,46,5,1,13,208,85,196,40,0,4,0,0,0,0,0,5,0,0,0,31,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,2,2,0,0,0,11,288,351,89,0,0,2,0,0,17,15,14,0,0,0,0,2,2,1,0
7,id-1-8,PANTS,JOGGERPT,22800,4958,https://store.musinsa.com/app/goods/533714,https://image.msscdn.net/images/goods_img/20170405/533714/533714_12_500.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,6,0,0,0,23,27,76,0,0,9,8,0,1,179,31,17,49,0,0,0,1,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,51,77,15,0,0,0,0,1,5,5,0,0,0,0,1,2,2,0,0
8,id-1-9,PANTS,SLACKS,18800,11871,https://store.musinsa.com/app/goods/1389479,https://image.msscdn.net/images/goods_img/20200408/1389479/1389479_1_500.jpg,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,1,0,4,19,119,0,0,6,5,2,4,166,33,81,12,0,0,0,0,0,0,0,3,0,0,6,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,62,85,22,0,0,0,0,0,3,6,1,0,0,0,2,0,2,1,0
9,id-1-10,PANTS,SPORTWEAR,21900,10149,https://store.musinsa.com/app/goods/1755971,https://image.msscdn.net/images/goods_img/20210120/1755971/1755971_1_500.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0,0,2,2,13,36,0,0,6,2,0,0,148,11,40,8,1,0,0,2,0,0,0,2,1,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,8,28,71,50,0,0,0,0,6,88,2,2,0,0,0,0,1,5,0,0
